gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Attendance,Hours_Studied,Final_Score
female,group B,bachelor's degree,standard,none,72,72,74,71,4.4,72.7
female,group C,some college,standard,completed,69,90,88,99,9.6,82.3
female,group B,master's degree,standard,none,90,95,93,79,7.6,92.7
male,group A,associate's degree,free/reduced,none,47,57,44,70,6.4,49.3
male,group C,some college,standard,none,76,78,75,72,2.4,76.3
female,group B,associate's degree,standard,none,71,83,78,85,2.4,77.3
female,group B,some college,standard,completed,88,95,92,86,1.5,91.7
male,group B,some college,free/reduced,none,40,43,39,78,8.8,40.7
male,group D,high school,free/reduced,completed,64,64,67,85,6.4,65.0
female,group B,high school,free/reduced,none,38,60,50,70,7.4,49.3
male,group C,associate's degree,standard,none,58,54,52,85,1.2,54.7
male,group D,associate's degree,standard,none,40,52,43,68,9.7,45.0
female,group B,high school,standard,none,65,81,73,72,8.5,73.0
male,group A,some college,standard,completed,78,72,70,82,2.9,73.3
female,group A,master's degree,standard,none,50,53,58,85,2.6,53.7
female,group C,some high school,standard,none,69,75,78,66,2.7,74.0
male,group C,high school,standard,none,88,89,86,76,3.7,87.7
female,group B,some high school,free/reduced,none,18,32,28,65,5.7,26.0
male,group C,master's degree,free/reduced,completed,46,42,46,76,4.9,44.7
female,group C,associate's degree,free/reduced,none,54,58,61,80,3.6,57.7
male,group D,high school,standard,none,66,69,63,65,6.5,66.0
female,group B,some college,free/reduced,completed,65,75,70,86,2.3,70.0
male,group D,some college,standard,none,44,54,53,76,3.6,50.3
female,group C,some high school,standard,none,69,73,73,81,4.3,71.7
male,group D,bachelor's degree,free/reduced,completed,74,71,80,84,5.1,75.0
male,group A,master's degree,free/reduced,none,73,74,72,75,8.1,73.0
male,group B,some college,standard,none,69,54,55,79,2.8,59.3
female,group C,bachelor's degree,standard,none,67,69,75,79,5.6,70.3
male,group C,high school,standard,none,70,70,65,83,6.3,68.3
female,group D,master's degree,standard,none,62,70,75,76,1.4,69.0
female,group D,some college,standard,none,69,74,74,84,6.5,72.3
female,group B,some college,standard,none,63,65,61,67,2.5,63.0
female,group E,master's degree,free/reduced,none,56,72,65,64,1.6,64.3
male,group D,some college,standard,none,40,42,38,83,9.5,40.0
male,group E,some college,standard,none,97,87,82,71,9.7,88.7
male,group E,associate's degree,standard,completed,81,81,79,100,8.3,80.3
female,group D,associate's degree,standard,none,74,81,83,73,3.7,79.3
female,group D,some high school,free/reduced,none,50,64,59,66,1.9,57.7
female,group D,associate's degree,free/reduced,completed,75,90,88,92,7.2,84.3
male,group B,associate's degree,free/reduced,none,57,56,57,63,5.0,56.7
male,group C,associate's degree,free/reduced,none,55,61,54,73,2.1,56.7
female,group C,associate's degree,standard,none,58,73,68,82,5.5,66.3
female,group B,associate's degree,standard,none,53,58,65,73,1.3,58.7
male,group B,some college,free/reduced,completed,59,65,66,95,9.2,63.3
female,group E,associate's degree,free/reduced,none,50,56,54,61,3.3,53.3
male,group B,associate's degree,standard,none,65,54,57,84,7.0,58.7
female,group A,associate's degree,standard,completed,55,65,62,94,3.8,60.7
female,group C,high school,standard,none,66,71,76,71,5.7,71.0
female,group D,associate's degree,free/reduced,completed,57,74,76,86,5.9,69.0
male,group C,high school,standard,completed,82,84,82,87,2.7,82.7
male,group E,some college,standard,none,53,55,48,79,9.7,52.0
male,group E,associate's degree,free/reduced,completed,77,69,68,77,8.0,71.3
male,group C,some college,standard,none,53,44,42,78,9.5,46.3
male,group D,high school,standard,none,88,78,75,81,9.1,80.3
female,group C,some high school,free/reduced,completed,71,84,87,78,6.4,80.7
female,group C,high school,free/reduced,none,33,41,43,77,9.3,39.0
female,group E,associate's degree,standard,completed,82,85,86,87,1.8,84.3
male,group D,associate's degree,standard,none,52,55,49,68,2.8,52.0
male,group D,some college,standard,completed,58,59,58,81,1.4,58.3
female,group C,some high school,free/reduced,none,0,17,10,65,3.9,9.0
male,group E,bachelor's degree,free/reduced,completed,79,74,72,84,4.5,75.0
male,group A,some high school,free/reduced,none,39,39,34,63,3.4,37.3
male,group A,associate's degree,free/reduced,none,62,61,55,77,8.5,59.3
female,group C,associate's degree,standard,none,69,80,71,76,4.2,73.3
female,group D,some high school,standard,none,59,58,59,66,3.5,58.7
male,group B,some high school,standard,none,67,64,61,74,5.9,64.0
male,group D,some high school,free/reduced,none,45,37,37,63,2.3,39.7
female,group C,some college,standard,none,60,72,74,78,8.2,68.7
male,group B,associate's degree,free/reduced,none,61,58,56,75,1.7,58.3
female,group C,associate's degree,standard,none,39,64,57,79,9.9,53.3
female,group D,some college,free/reduced,completed,58,63,73,82,8.0,64.7
male,group D,some college,standard,completed,63,55,63,93,2.8,60.3
female,group A,associate's degree,free/reduced,none,41,51,48,67,1.0,46.7
male,group C,some high school,free/reduced,none,61,57,56,80,8.3,58.0
male,group C,some high school,standard,none,49,49,41,80,7.4,46.3
male,group B,associate's degree,free/reduced,none,44,41,38,72,7.6,41.0
male,group E,some high school,standard,none,30,26,22,82,7.9,26.0
male,group A,bachelor's degree,standard,completed,80,78,81,94,1.7,79.7
female,group D,some high school,standard,completed,61,74,72,100,4.2,69.0
female,group E,master's degree,standard,none,62,68,68,77,2.0,66.0
female,group B,associate's degree,standard,none,47,49,50,73,8.8,48.7
male,group B,high school,free/reduced,none,49,45,45,74,6.6,46.3
male,group A,some college,free/reduced,completed,50,47,54,87,4.0,50.3
male,group E,associate's degree,standard,none,72,64,63,65,1.6,66.3
male,group D,high school,free/reduced,none,42,39,34,66,3.8,38.3
female,group C,some college,standard,none,73,80,82,73,3.9,78.3
female,group C,some college,free/reduced,none,76,83,88,60,7.6,82.3
female,group D,associate's degree,standard,none,71,71,74,76,6.7,72.0
female,group A,some college,standard,none,58,70,67,72,9.0,65.0
female,group D,some high school,standard,none,73,86,82,75,5.2,80.3
female,group C,bachelor's degree,standard,none,65,72,74,83,2.1,70.3
male,group C,high school,free/reduced,none,27,34,36,76,7.4,32.3
male,group C,high school,standard,none,71,79,71,72,7.8,73.7
male,group C,associate's degree,free/reduced,completed,43,45,50,77,6.1,46.0
female,group B,some college,standard,none,79,86,92,67,7.9,85.7
male,group C,associate's degree,free/reduced,completed,78,81,82,75,5.4,80.3
male,group B,some high school,standard,completed,65,66,62,84,5.7,64.3
female,group E,some college,standard,completed,63,72,70,89,4.8,68.3
female,group D,some college,free/reduced,none,58,67,62,66,1.2,62.3
female,group D,bachelor's degree,standard,none,65,67,62,73,2.0,64.7
male,group B,some college,standard,none,79,67,67,71,1.3,71.0
male,group D,bachelor's degree,standard,completed,68,74,74,88,6.7,72.0
female,group D,associate's degree,standard,none,85,91,89,72,3.8,88.3
male,group B,high school,standard,completed,60,44,47,91,5.6,50.3
male,group C,some college,standard,completed,98,86,90,81,9.2,91.3
female,group C,some college,standard,none,58,67,72,65,3.2,65.7
female,group D,master's degree,standard,none,87,100,100,80,4.7,95.7
male,group E,associate's degree,standard,completed,66,63,64,84,7.8,64.3
female,group B,associate's degree,free/reduced,none,52,76,70,62,3.1,66.0
female,group B,some high school,standard,none,70,64,72,76,1.7,68.7
female,group D,associate's degree,free/reduced,completed,77,89,98,82,3.6,88.0
male,group C,high school,standard,none,62,55,49,67,2.5,55.3
male,group A,associate's degree,standard,none,54,53,47,65,9.4,51.3
female,group D,some college,standard,none,51,58,54,67,8.3,54.3
female,group E,bachelor's degree,standard,completed,99,100,100,84,6.7,99.7
male,group C,high school,standard,none,84,77,74,79,8.8,78.3
female,group B,bachelor's degree,free/reduced,none,75,85,82,73,8.2,80.7
female,group D,bachelor's degree,standard,none,78,82,79,67,2.7,79.7
female,group D,some high school,standard,none,51,63,61,65,9.0,58.3
female,group C,some college,standard,none,55,69,65,69,5.9,63.0
female,group C,bachelor's degree,standard,completed,79,92,89,93,8.3,86.7
male,group B,associate's degree,standard,completed,91,89,92,86,9.1,90.7
female,group C,some college,standard,completed,88,93,93,88,3.9,91.3
male,group D,high school,free/reduced,none,63,57,56,74,2.0,58.7
male,group E,some college,standard,none,83,80,73,79,3.1,78.7
female,group B,high school,standard,none,87,95,86,74,4.8,89.3
male,group B,some high school,standard,none,72,68,67,77,8.4,69.0
male,group D,some college,standard,completed,65,77,74,98,8.7,72.0
male,group D,master's degree,standard,none,82,82,74,71,1.1,79.3
female,group A,bachelor's degree,standard,none,51,49,51,81,5.6,50.3
male,group D,master's degree,standard,none,89,84,82,84,4.8,85.0
male,group C,some high school,free/reduced,completed,53,37,40,78,3.0,43.3
male,group E,some college,free/reduced,completed,87,74,70,79,2.1,77.0
female,group C,some college,standard,completed,75,81,84,86,4.0,80.0
male,group D,bachelor's degree,free/reduced,completed,74,79,75,87,9.5,76.0
male,group C,bachelor's degree,standard,none,58,55,48,79,3.9,53.7
male,group B,some high school,standard,completed,51,54,41,90,5.7,48.7
male,group E,high school,standard,none,70,55,56,68,7.3,60.3
female,group C,associate's degree,standard,none,59,66,67,77,4.3,64.0
male,group D,some college,standard,completed,71,61,69,86,9.7,67.0
female,group D,some high school,standard,none,76,72,71,83,9.7,73.0
female,group C,some college,free/reduced,none,59,62,64,61,3.3,61.7
female,group E,some college,free/reduced,completed,42,55,54,84,5.5,50.3
male,group A,high school,standard,none,57,43,47,77,3.7,49.0
male,group D,some college,standard,none,88,73,78,85,3.6,79.7
female,group C,some college,free/reduced,none,22,39,33,65,1.3,31.3
male,group B,some high school,standard,none,88,84,75,76,6.5,82.3
male,group C,associate's degree,free/reduced,none,73,68,66,71,5.5,69.0
female,group D,bachelor's degree,standard,completed,68,75,81,99,1.5,74.7
male,group E,associate's degree,free/reduced,completed,100,100,93,85,3.5,97.7
male,group A,some high school,standard,completed,62,67,69,86,9.2,66.0
male,group A,bachelor's degree,standard,none,77,67,68,65,3.2,70.7
female,group B,associate's degree,standard,completed,59,70,66,80,2.3,65.0
male,group D,bachelor's degree,standard,none,54,49,47,84,5.4,50.0
male,group D,some high school,standard,none,62,67,61,77,9.9,63.3
female,group C,some college,standard,completed,70,89,88,88,3.2,82.3
female,group E,high school,free/reduced,completed,66,74,78,77,7.0,72.7
male,group B,some college,free/reduced,none,60,60,60,66,7.9,60.0
female,group B,associate's degree,standard,completed,61,86,87,85,3.1,78.0
male,group D,associate's degree,free/reduced,none,66,62,64,67,7.6,64.0
male,group B,associate's degree,free/reduced,completed,82,78,74,83,4.3,78.0
female,group E,some college,free/reduced,completed,75,88,85,79,6.7,82.7
male,group B,master's degree,free/reduced,none,49,53,52,60,6.7,51.3
male,group C,high school,standard,none,52,53,49,83,5.8,51.3
female,group E,master's degree,standard,none,81,92,91,74,1.8,88.0
female,group C,bachelor's degree,standard,completed,96,100,100,91,8.5,98.7
male,group C,high school,free/reduced,completed,53,51,51,89,3.9,51.7
female,group B,master's degree,free/reduced,completed,58,76,78,83,2.7,70.7
female,group B,high school,standard,completed,68,83,78,99,1.4,76.3
female,group C,some college,free/reduced,completed,67,75,70,91,6.3,70.7
male,group A,high school,standard,completed,72,73,74,96,7.1,73.0
male,group E,some high school,standard,none,94,88,78,84,1.1,86.7
female,group D,some college,standard,none,79,86,81,76,5.6,82.0
female,group C,associate's degree,standard,none,63,67,70,71,3.0,66.7
female,group C,bachelor's degree,free/reduced,completed,43,51,54,76,6.8,49.3
female,group C,master's degree,standard,completed,81,91,87,82,2.6,86.3
female,group B,high school,free/reduced,completed,46,54,58,91,7.2,52.7
female,group C,associate's degree,standard,completed,71,77,77,84,4.5,75.0
female,group B,master's degree,free/reduced,completed,52,70,62,91,9.4,61.3
female,group D,some high school,standard,completed,97,100,100,96,2.2,99.0
male,group C,master's degree,free/reduced,completed,62,68,75,91,4.1,68.3
female,group C,some college,free/reduced,none,46,64,66,61,2.0,58.7
female,group E,high school,standard,none,50,50,47,66,9.3,49.0
female,group D,associate's degree,standard,none,65,69,70,69,8.9,68.0
male,group C,some high school,free/reduced,completed,45,52,49,75,3.3,48.7
male,group C,associate's degree,free/reduced,completed,65,67,65,75,6.9,65.7
male,group E,high school,standard,none,80,76,65,83,8.4,73.7
male,group D,some high school,standard,completed,62,66,68,81,6.0,65.3
male,group B,some high school,free/reduced,none,48,52,45,80,5.8,48.3
female,group C,bachelor's degree,standard,none,77,88,87,76,3.2,84.0
female,group E,associate's degree,standard,none,66,65,69,70,1.8,66.7
male,group D,some college,standard,completed,76,83,79,83,9.1,79.3
female,group B,some high school,standard,none,62,64,66,75,9.1,64.0
male,group D,some college,standard,completed,77,62,62,96,6.7,67.0
female,group C,master's degree,standard,completed,69,84,85,85,4.1,79.3
male,group D,associate's degree,standard,none,61,55,52,69,4.1,56.0
male,group C,some high school,free/reduced,completed,59,69,65,94,7.5,64.3
male,group E,high school,free/reduced,none,55,56,51,61,9.1,54.0
female,group B,some college,free/reduced,none,45,53,55,65,9.0,51.0
female,group B,bachelor's degree,free/reduced,none,78,79,76,70,8.0,77.7
female,group C,associate's degree,standard,completed,67,84,86,95,6.8,79.0
female,group D,some college,free/reduced,none,65,81,77,75,1.8,74.3
male,group C,associate's degree,standard,none,69,77,69,65,2.5,71.7
female,group B,associate's degree,standard,none,57,69,68,73,9.1,64.7
male,group C,some college,standard,none,59,41,42,70,6.5,47.3
male,group D,some high school,standard,completed,74,71,78,95,1.1,74.3
male,group E,bachelor's degree,standard,none,82,62,62,67,1.9,68.7
male,group E,high school,standard,completed,81,80,76,99,7.0,79.0
female,group B,some college,free/reduced,none,74,81,76,63,1.0,77.0
female,group B,some college,free/reduced,none,58,61,66,78,2.4,61.7
male,group D,some high school,free/reduced,completed,80,79,79,77,5.9,79.3
male,group C,some college,free/reduced,none,35,28,27,78,7.2,30.0
female,group C,high school,free/reduced,none,42,62,60,79,6.9,54.7
male,group C,associate's degree,free/reduced,completed,60,51,56,81,3.0,55.7
male,group E,high school,standard,completed,87,91,81,99,7.4,86.3
male,group B,some high school,standard,completed,84,83,75,88,3.1,80.7
female,group E,associate's degree,free/reduced,completed,83,86,88,75,3.9,85.7
female,group C,high school,free/reduced,none,34,42,39,67,7.7,38.3
male,group B,high school,free/reduced,none,66,77,70,66,6.8,71.0
male,group B,some high school,standard,completed,61,56,56,97,8.6,57.7
female,group D,high school,standard,completed,56,68,74,87,6.9,66.0
male,group B,associate's degree,standard,none,87,85,73,65,6.1,81.7
female,group C,some high school,free/reduced,none,55,65,62,70,1.8,60.7
male,group D,some high school,standard,none,86,80,75,82,4.3,80.3
female,group B,associate's degree,standard,completed,52,66,73,89,3.4,63.7
female,group E,master's degree,free/reduced,none,45,56,54,62,3.2,51.7
female,group C,some college,standard,none,72,72,71,71,9.8,71.7
male,group D,high school,standard,none,57,50,54,80,4.5,53.7
male,group A,some high school,free/reduced,none,68,72,64,75,9.0,68.0
female,group C,some college,standard,completed,88,95,94,99,6.7,92.3
male,group D,some college,standard,none,76,64,66,81,8.2,68.7
male,group C,associate's degree,standard,none,46,43,42,66,5.5,43.7
female,group B,bachelor's degree,standard,none,67,86,83,65,6.2,78.7
male,group E,some high school,standard,none,92,87,78,80,5.4,85.7
male,group C,bachelor's degree,standard,completed,83,82,84,91,2.8,83.0
male,group D,associate's degree,standard,none,80,75,77,69,7.5,77.3
male,group D,bachelor's degree,free/reduced,none,63,66,67,64,3.5,65.3
female,group D,some high school,standard,completed,64,60,74,88,1.2,66.0
male,group B,some college,standard,none,54,52,51,73,6.8,52.3
male,group C,associate's degree,standard,none,84,80,80,67,2.6,81.3
male,group D,high school,free/reduced,completed,73,68,66,93,9.5,69.0
female,group E,bachelor's degree,standard,none,80,83,83,80,9.6,82.0
female,group D,high school,standard,none,56,52,55,80,9.2,54.3
male,group E,some college,standard,none,59,51,43,67,4.3,51.0
male,group D,some high school,standard,none,75,74,69,84,1.1,72.7
male,group C,associate's degree,standard,none,85,76,71,65,9.4,77.3
male,group E,associate's degree,standard,none,89,76,74,84,4.9,79.7
female,group B,high school,standard,completed,58,70,68,90,9.7,65.3
female,group B,high school,standard,none,65,64,62,81,9.7,63.7
male,group C,high school,standard,none,68,60,53,72,8.7,60.3
male,group A,some high school,standard,completed,47,49,49,83,3.7,48.3
female,group D,some college,free/reduced,none,71,83,83,65,4.5,79.0
female,group B,some high school,standard,completed,60,70,70,87,8.7,66.7
male,group D,master's degree,standard,none,80,80,72,84,3.9,77.3
male,group D,high school,standard,none,54,52,52,67,2.5,52.7
female,group E,some college,standard,none,62,73,70,80,6.0,68.3
female,group C,associate's degree,free/reduced,none,64,73,68,62,9.4,68.3
male,group C,associate's degree,standard,completed,78,77,77,97,7.3,77.3
female,group B,some college,standard,none,70,75,78,78,6.1,74.3
female,group C,master's degree,free/reduced,completed,65,81,81,92,1.9,75.7
female,group C,some high school,free/reduced,completed,64,79,77,76,6.5,73.3
male,group C,some college,standard,completed,79,79,78,82,9.9,78.7
female,group C,some high school,free/reduced,none,44,50,51,75,2.3,48.3
female,group E,high school,standard,none,99,93,90,73,5.7,94.0
male,group D,high school,standard,none,76,73,68,68,8.9,72.3
male,group D,some high school,free/reduced,none,59,42,41,60,7.7,47.3
female,group C,bachelor's degree,standard,none,63,75,81,68,7.3,73.0
female,group D,high school,standard,none,69,72,77,65,7.3,72.7
female,group D,associate's degree,standard,completed,88,92,95,93,4.2,91.7
female,group E,some college,free/reduced,none,71,76,70,80,3.6,72.3
male,group C,bachelor's degree,standard,none,69,63,61,80,8.3,64.3
male,group C,some college,standard,none,58,49,42,84,8.3,49.7
female,group D,associate's degree,free/reduced,none,47,53,58,67,8.8,52.7
female,group D,some college,standard,none,65,70,71,71,9.2,68.7
male,group B,some college,standard,completed,88,85,76,82,5.6,83.0
male,group C,bachelor's degree,standard,none,83,78,73,81,5.5,78.0
female,group C,some high school,standard,completed,85,92,93,80,8.2,90.0
female,group E,high school,standard,completed,59,63,75,95,6.8,65.7
female,group C,some high school,free/reduced,none,65,86,80,71,7.3,77.0
male,group B,bachelor's degree,free/reduced,none,73,56,57,78,8.2,62.0
male,group D,high school,standard,none,53,52,42,78,9.0,49.0
male,group D,high school,standard,none,45,48,46,70,4.0,46.3
female,group D,bachelor's degree,free/reduced,none,73,79,84,65,4.4,78.7
female,group D,some college,free/reduced,completed,70,78,78,87,1.8,75.3
female,group B,some high school,standard,none,37,46,46,83,6.2,43.0
male,group B,associate's degree,standard,completed,81,82,82,87,1.3,81.7
male,group E,associate's degree,standard,completed,97,82,88,81,5.2,89.0
female,group B,some high school,standard,none,67,89,82,85,5.9,79.3
male,group B,bachelor's degree,free/reduced,none,88,75,76,60,3.6,79.7
male,group E,some high school,standard,completed,77,76,77,94,6.3,76.7
male,group C,associate's degree,standard,none,76,70,68,65,1.3,71.3
male,group D,some high school,standard,none,86,73,70,69,1.3,76.3
male,group C,some high school,standard,completed,63,60,57,95,8.4,60.0
female,group E,bachelor's degree,standard,none,65,73,75,83,4.2,71.0
male,group D,high school,free/reduced,completed,78,77,80,78,2.1,78.3
male,group B,associate's degree,free/reduced,none,67,62,60,62,5.7,63.0
male,group A,some high school,standard,completed,46,41,43,96,7.9,43.3
male,group E,associate's degree,standard,completed,71,74,68,96,2.9,71.0
male,group C,high school,free/reduced,completed,40,46,50,86,6.6,45.3
male,group D,associate's degree,free/reduced,none,90,87,75,73,1.8,84.0
male,group A,some college,free/reduced,completed,81,78,81,95,1.5,80.0
male,group D,some high school,free/reduced,none,56,54,52,65,5.8,54.0
female,group C,associate's degree,standard,completed,67,84,81,82,5.9,77.3
male,group B,associate's degree,standard,none,80,76,64,73,6.7,73.3
female,group C,associate's degree,standard,completed,74,75,83,84,7.5,77.3
male,group A,some college,standard,none,69,67,69,81,9.8,68.3
male,group E,some college,standard,completed,99,87,81,93,5.6,89.0
male,group C,some high school,standard,none,51,52,44,85,3.9,49.0
female,group B,associate's degree,free/reduced,none,53,71,67,62,8.2,63.7
female,group D,high school,free/reduced,none,49,57,52,60,3.4,52.7
female,group B,associate's degree,standard,none,73,76,80,84,5.0,76.3
male,group B,bachelor's degree,standard,none,66,60,57,85,1.7,61.0
male,group D,bachelor's degree,standard,completed,67,61,68,80,1.2,65.3
female,group C,associate's degree,free/reduced,completed,68,67,69,77,9.7,68.0
female,group C,bachelor's degree,standard,completed,59,64,75,97,8.5,66.0
male,group C,high school,standard,none,71,66,65,74,7.3,67.3
female,group D,master's degree,standard,completed,77,82,91,82,4.7,83.3
male,group C,associate's degree,standard,none,83,72,78,72,2.6,77.7
male,group B,bachelor's degree,standard,none,63,71,69,78,2.4,67.7
female,group D,associate's degree,free/reduced,none,56,65,63,77,3.3,61.3
female,group C,high school,free/reduced,completed,67,79,84,89,5.9,76.7
female,group E,high school,standard,none,75,86,79,66,7.4,80.0
female,group C,some college,standard,none,71,81,80,74,6.9,77.3
female,group C,some high school,free/reduced,none,43,53,53,61,3.5,49.7
female,group C,high school,free/reduced,none,41,46,43,76,9.6,43.3
female,group C,some college,standard,none,82,90,94,72,7.6,88.7
male,group C,some college,standard,none,61,61,62,65,6.0,61.3
male,group A,some college,free/reduced,none,28,23,19,68,6.5,23.3
male,group C,associate's degree,standard,completed,82,75,77,90,4.8,78.0
female,group B,some high school,standard,none,41,55,51,80,3.2,49.0
male,group C,high school,standard,none,71,60,61,71,4.2,64.0
